[517.523, 311.338]
[582.106, 310.501]
[652.656, 309.628]
[724.655, 311.659]
[793.275, 313.828]
[855.244, 316.419]
[492.429, 347.106]
[565.609, 347.455]
[647.641, 347.797]
[732.78, 349.195]
[811.945, 350.738]
[880.939, 351.541]
[460.892, 394.749]
[543.721, 398.933]
[641.197, 402.36]
[743.284, 403.211]
[836.615, 401.479]
[912.992, 398.695]
[423.178, 459.249]
[515.428, 471.911]
[632.459, 480.466]
[757.118, 480.357]
[867.437, 472.113]
[950.651, 460.446]
[278.171, 321.325]
[342.468, 316.982]
[210.434, 395.642]
[251.771, 413.477]
[1017.27, 327.565]
[1075.48, 335.144]
[1099.45, 424.208]
[1136.34, 408.997]
