[455.918, 326.625]
[524.679, 320.746]
[601.064, 316.616]
[679.373, 314.37]
[752.971, 313.001]
[818.14, 312.632]
[431.022, 371.074]
[508.935, 367.12]
[598.761, 363.62]
[691.494, 360.479]
[776.993, 357.31]
[848.866, 354.454]
[400.82, 431.006]
[488.949, 432.316]
[596.056, 431.187]
[708.108, 425.983]
[807.699, 418.425]
[885.502, 409.286]
[367.746, 510.593]
[465.617, 523.497]
[593.351, 528.257]
[729.342, 519.663]
[844.247, 501.02]
[927.44, 479.736]
[222.007, 354.701]
[280.696, 345.473]
[164.538, 442.686]
[201.624, 461.522]
[981.498, 314.942]
[1037.74, 316.622]
[1067.81, 418.787]
[1101.49, 395.621]
