[411.599, 418.623]
[450.614, 422.721]
[496.822, 426.243]
[549.775, 428.533]
[608.852, 429.111]
[672.448, 427.926]
[389.742, 454.162]
[429.649, 462.034]
[477.655, 468.877]
[534.632, 474.629]
[600.097, 477.525]
[671.105, 477.576]
[367.217, 493.905]
[407.437, 506.465]
[457.458, 518.481]
[518.227, 529.181]
[589.989, 536.305]
[669.38, 538.448]
[345.63, 536.739]
[385.799, 555.086]
[436.722, 573.428]
[501.209, 590.819]
[579.012, 603.141]
[666.769, 608.419]
[203.417, 374.201]
[215.168, 379.508]
[179.837, 407.687]
[188.026, 417.563]
[1064.28, 366.077]
[1101.76, 352.305]
[1117.92, 442.522]
[1144.72, 412.175]
[267.766, 394.12]
[309.356, 403.485]
[224.485, 455.562]
[256.068, 482.111]
[904.301, 403.672]
[1010.75, 380.606]
[971.641, 543.311]
[1075.92, 478.73]
