[620.618, 396.49]
[682.348, 400.575]
[739.545, 404.144]
[790.74, 406.335]
[835.652, 406.766]
[873.863, 406.891]
[621.161, 445.314]
[690.345, 448.303]
[753.229, 449.4]
[808.405, 448.796]
[855.375, 446.723]
[894.094, 443.644]
[622.518, 505.171]
[699.026, 506.641]
[768.481, 503.896]
[827.143, 498.787]
[875.582, 492.575]
[914.821, 485.248]
[624.229, 575.827]
[709.174, 574.521]
[783.866, 566.913]
[845.854, 555.753]
[895.518, 543.281]
[934.667, 530.185]
[194.483, 334.5]
[232.232, 344.289]
[152.753, 402.247]
[179.705, 429.42]
[1072.89, 397.318]
[1084.97, 394.397]
[1098.95, 440.769]
[1107.69, 433.154]
[286.239, 355.048]
[391.856, 372.766]
[221.513, 460.793]
[323.778, 515.626]
[976.388, 403.63]
[1017.66, 401.443]
[1026.37, 489.603]
[1059.1, 469.852]
