[514.984, 266.473]
[572.756, 266.606]
[635.48, 268.005]
[700.408, 270.49]
[763.151, 274.508]
[820.808, 279.595]
[493.479, 301.809]
[557.509, 303.441]
[628.712, 305.463]
[702.555, 308.712]
[773.804, 313.065]
[838.45, 317.605]
[467.349, 346.771]
[538.241, 351.524]
[619.244, 355.624]
[704.938, 359.676]
[787.166, 362.598]
[858.858, 365.543]
[437.184, 404.406]
[514.637, 414.802]
[607.228, 422.998]
[707.332, 427.768]
[802.352, 428.459]
[881.518, 427.414]
[285.85, 278.298]
[351.127, 272.622]
[222.106, 356.625]
[269.762, 371.148]
[983.954, 302.999]
[1046.06, 315.454]
[1051.23, 411.563]
[1098.05, 403.365]
