[672.476, 475.963]
[733.546, 476.882]
[789.88, 475.572]
[839.849, 472.605]
[882.49, 469.438]
[918.518, 464.956]
[674.982, 522.311]
[743.383, 521.747]
[805.341, 517.84]
[858.687, 511.991]
[902.981, 505.04]
[939.671, 497.529]
[677.514, 578.7]
[754.264, 576.391]
[821.965, 568.487]
[878.578, 557.468]
[924.413, 545.471]
[960.959, 533.762]
[679.51, 645.159]
[765.1, 639.176]
[838.317, 625.425]
[898.145, 607.648]
[944.771, 589.812]
[980.744, 572.354]
[222.963, 388.279]
[265.337, 405.43]
[173.583, 440.47]
[204.286, 474.685]
[1102.33, 414.696]
[1113.47, 410.315]
[1126.85, 449.03]
[1134.21, 439.411]
[324.603, 423.698]
[437.8, 451.818]
[251.526, 514.703]
[364.689, 582.02]
[1014.6, 446.128]
[1054.18, 434.437]
[1064.52, 516.457]
[1093.63, 489.366]
