[490.366, 424.844]
[551.989, 427.164]
[618.926, 428.514]
[687.382, 428.564]
[753.471, 427.124]
[813.737, 424.635]
[469.694, 466.649]
[538.53, 471.517]
[615.277, 474.274]
[694.969, 473.512]
[769.763, 469.948]
[836.632, 464.316]
[446.295, 519.285]
[522.526, 528.454]
[611.02, 533.655]
[703.449, 532.772]
[789.991, 525.276]
[863.829, 513.648]
[421.141, 583.366]
[505.6, 601.221]
[606.718, 610.756]
[714.739, 608.434]
[812.952, 595.37]
[893.4, 574.808]
[259.791, 401.823]
[322.313, 411.167]
[201.902, 471.418]
[247.715, 506.419]
[978.786, 407.509]
[1042.77, 396.427]
[1059.58, 496.989]
[1104.92, 462.043]
