[435.607, 506.273]
[480.545, 512.681]
[532.631, 517.671]
[590.972, 520.879]
[654.485, 521.387]
[718.95, 518.919]
[412.849, 541.612]
[459.591, 552.5]
[515.607, 561.373]
[579.804, 567.779]
[650.685, 569.845]
[723.388, 567.73]
[388.856, 581.45]
[437.223, 597.369]
[496.381, 611.809]
[566.83, 622.783]
[645.518, 627.745]
[727.714, 625.296]
[365.699, 623.997]
[414.771, 646.314]
[476.569, 667.664]
[552.46, 685.077]
[639.492, 693.386]
[731.408, 690.79]
[195.783, 426.301]
[207.635, 433.551]
[171.115, 453.069]
[178.56, 464.08]
[1071.15, 430.526]
[1103.76, 413.223]
[1121.34, 490.401]
[1143.81, 459.374]
[269.182, 462.462]
[316.706, 478.695]
[220.559, 517.12]
[257.01, 551.749]
[934.772, 482.433]
[1025.85, 451.222]
[1003.01, 599.274]
[1087.46, 530.265]
