[451.372, 356.498]
[516.524, 362.657]
[588.564, 369.598]
[661.482, 376.783]
[731.534, 382.515]
[794.294, 386.987]
[426.426, 404.317]
[499.003, 413.794]
[580.977, 422.757]
[665.435, 429.819]
[745.236, 434.488]
[814.404, 435.482]
[398.727, 465.104]
[478.443, 480.325]
[572.385, 492.697]
[670.511, 499.082]
[760.893, 500.258]
[837.012, 496.115]
[370.69, 538.434]
[457.206, 562.971]
[563.307, 580.555]
[675.525, 586.46]
[777.656, 580.726]
[859.762, 567.457]
[219.9, 328.592]
[279.831, 336.832]
[161.556, 413.427]
[201.794, 449.499]
[959.694, 396.071]
[1020.48, 398.491]
[1025.53, 511.915]
[1071.46, 485.592]
