[418.867, 339.159]
[486.434, 335.728]
[564.136, 332.571]
[647.105, 329.57]
[727.77, 327.52]
[799.695, 325.683]
[390.523, 388.585]
[464.784, 388.164]
[555.321, 386.401]
[654.63, 383.444]
[749.573, 378.616]
[830.723, 373.4]
[358.435, 452.939]
[439.629, 460.511]
[545.198, 463.896]
[664.731, 461.285]
[776.897, 451.348]
[867.395, 437.713]
[326.499, 532.901]
[408.076, 553.504]
[527.566, 568.988]
[670.338, 567.744]
[803.431, 548.027]
[907.125, 519.445]
[205.754, 352.652]
[257.769, 349.436]
[153.87, 437.845]
[185.669, 464.238]
[979.913, 322.844]
[1039.34, 322.394]
[1068.32, 435.606]
[1103.76, 405.487]
