[374.756, 397.593]
[408.226, 400.516]
[448.493, 403.451]
[495.607, 406.241]
[549.988, 408.593]
[610.674, 410.329]
[352.184, 430.518]
[385.584, 436.558]
[426.561, 442.609]
[476.478, 448.518]
[535.5, 453.233]
[602.686, 456.777]
[329.609, 467.63]
[362.409, 477.544]
[403.639, 488.334]
[455.458, 498.8]
[519.252, 507.777]
[593.5, 514.688]
[308.475, 507.705]
[340.136, 523.044]
[381.039, 539.63]
[434.398, 556.632]
[501.841, 572.086]
[583.984, 583.672]
[200.261, 368.151]
[213.01, 371.525]
[178.78, 404.301]
[186.203, 414.358]
[1038.11, 387.428]
[1083.71, 380.467]
[1096.89, 471.852]
[1130.52, 446.14]
[251.878, 380.296]
[287.014, 387.007]
[211.866, 440.532]
[236.977, 462.13]
[853.356, 405.412]
[975.467, 395.553]
[917.176, 555.162]
[1044.09, 504.303]
