[768.896, 419.09]
[830.321, 416.986]
[885.398, 413.313]
[932.701, 409.286]
[972.546, 404.476]
[1005.29, 400.451]
[776.759, 469.391]
[845.104, 465.18]
[904.763, 458.287]
[954.356, 450.651]
[994.643, 442.373]
[1027.29, 434.817]
[785.233, 530.951]
[860.679, 522.938]
[924.902, 511.183]
[976.119, 498.462]
[1016.47, 485.688]
[1048.12, 473.775]
[792.382, 603.687]
[875.2, 590.396]
[943.289, 572.123]
[995.906, 552.443]
[1035.94, 533.284]
[1066.51, 515.536]
[278.816, 382.552]
[326.297, 391.626]
[229.713, 449.641]
[264.811, 478.245]
[1155.16, 366.787]
[1166.94, 363.526]
[1178.24, 410.777]
[1185.23, 400.069]
[391.408, 402.318]
[517.617, 414.792]
[319.373, 513.506]
[449.966, 569.821]
[1088.21, 385.784]
[1120.52, 377.841]
[1133.26, 463.935]
[1156.02, 439.976]
