[526.032, 223.609]
[582.029, 221.036]
[640.365, 220.181]
[698.588, 221.108]
[754.554, 223.71]
[806.524, 227.763]
[512.857, 258.199]
[575.192, 255.505]
[640.449, 254.673]
[705.715, 255.569]
[767.863, 258.298]
[824.406, 261.909]
[497.552, 301.892]
[566.846, 300.219]
[640.505, 299.554]
[714.303, 300.253]
[783.465, 301.969]
[844.882, 304.569]
[479.779, 357.884]
[557.175, 357.877]
[640.645, 357.86]
[724.407, 357.88]
[801.377, 357.915]
[867.888, 358.042]
[266.579, 260.289]
[348.695, 244.132]
[200.205, 357.531]
[274.984, 357.975]
[962.697, 249.896]
[1033.71, 265.459]
[1034.72, 357.754]
[1096.61, 357.555]
