[441.235, 352.108]
[501.06, 351.688]
[567.705, 351.514]
[638.509, 351.417]
[709.353, 351.51]
[776.187, 351.661]
[412.682, 388.434]
[478.982, 390.116]
[555.448, 391.307]
[638.386, 391.681]
[721.297, 391.295]
[797.95, 390.17]
[377.853, 436.018]
[450.71, 442.201]
[539.234, 446.501]
[638.027, 448.493]
[736.976, 446.559]
[825.884, 442.487]
[336.492, 498.34]
[415.57, 513.018]
[517.856, 525.136]
[637.497, 530.039]
[757.729, 525.365]
[860.709, 513.502]
[209.5, 355.276]
[276.735, 353.837]
[125.255, 431.173]
[174.798, 451.482]
[970.144, 353.49]
[1050, 354.912]
[1077.68, 460.941]
[1140.11, 437.251]
