[398.541, 323.585]
[441.696, 322.089]
[490.455, 320.541]
[543.952, 319.495]
[601.024, 318.893]
[659.579, 318.784]
[377.346, 360.361]
[422.665, 360.38]
[474.813, 360.412]
[533.449, 360.446]
[596.744, 360.453]
[662.345, 360.455]
[354.506, 403.602]
[401.697, 406.418]
[457.406, 409.07]
[521.322, 411.183]
[591.74, 412.398]
[665.257, 412.51]
[330.708, 454.319]
[379.485, 461.318]
[438.386, 467.919]
[507.907, 473.433]
[586.115, 476.812]
[668.383, 477.357]
[117.397, 344.61]
[134.075, 342.125]
[83.6093, 393.519]
[95.7003, 397.64]
[1029.54, 332.525]
[1077.76, 336.336]
[1092.05, 425.707]
[1131.49, 414.601]
[217.738, 334.627]
[274.096, 330.47]
[160.816, 417.8]
[208.64, 430.384]
[867.459, 323.335]
[970.857, 328.31]
[934.776, 456.362]
[1039.55, 437.186]
