[616.58, 361.805]
[682.365, 361.791]
[745.921, 361.749]
[804.605, 361.653]
[856.9, 361.587]
[902.34, 361.454]
[613.605, 414.318]
[687.469, 414.174]
[758.015, 412.811]
[822.188, 410.601]
[877.987, 408.046]
[925.272, 405.159]
[610.518, 479.451]
[693.075, 478.861]
[771.516, 475.486]
[841.218, 469.759]
[900.185, 463.019]
[948.962, 455.969]
[607.477, 557.729]
[699.049, 556.801]
[785.287, 550.039]
[860.36, 539.252]
[922.338, 526.568]
[972.183, 513.766]
[182.51, 361.36]
[227.942, 361.604]
[130.102, 445.333]
[166.719, 463.519]
[1158.7, 360.93]
[1173.55, 360.892]
[1196.44, 419.414]
[1206.82, 412.832]
[285.064, 361.335]
[389.95, 361.637]
[216.523, 483.609]
[320.438, 517.468]
[1027.14, 361.215]
[1080.9, 360.972]
[1091.81, 471.863]
[1136.59, 451.11]
