[625.192, 227.502]
[667.051, 227.568]
[708.401, 228.587]
[748.406, 230.518]
[786.435, 233.207]
[822.008, 236.311]
[623.859, 247.636]
[669.626, 247.795]
[714.672, 248.851]
[757.965, 250.712]
[798.739, 253.346]
[836.45, 256.393]
[622.346, 272.286]
[672.666, 272.36]
[722.041, 273.363]
[769.157, 275.183]
[812.801, 277.394]
[852.803, 280.279]
[620.472, 302.298]
[676.209, 302.371]
[730.639, 303.236]
[781.963, 304.578]
[828.93, 306.379]
[871.152, 308.477]
[182.327, 361.306]
[227.633, 361.568]
[129.859, 445.247]
[166.547, 463.443]
[1158.57, 360.806]
[1173.39, 360.801]
[1196.38, 419.514]
[1206.78, 412.94]
[375.344, 246.22]
[467.795, 235.389]
[318.371, 314.448]
[420.564, 307.752]
[937.386, 251.451]
[997.79, 262.91]
[994.555, 317.393]
[1051.75, 323.18]
