[511.45, 456.763]
[574.007, 459.392]
[640.555, 461.46]
[707.39, 459.395]
[769.68, 456.42]
[824.368, 451.697]
[494.847, 491.814]
[565.325, 497.531]
[640.956, 498.716]
[716.688, 497.756]
[787.226, 491.459]
[846.894, 484.03]
[475.451, 535.223]
[554.333, 544.642]
[641.402, 547.542]
[728.266, 543.825]
[805.547, 534.444]
[869.613, 521.322]
[453.734, 586.905]
[541.542, 602.595]
[641.293, 608.325]
[741.68, 602.464]
[828.25, 586.262]
[895.226, 565.107]
[275.875, 420.348]
[336.742, 435.192]
[232.365, 469.729]
[274.436, 507.007]
[967.58, 429.611]
[1015.86, 415.605]
[1023.21, 491.669]
[1054.12, 459.632]
