[430.84, 403.019]
[491.512, 405.183]
[560.888, 407.526]
[636.934, 408.489]
[713.569, 407.357]
[784.587, 406.047]
[406.647, 446.45]
[470.998, 453.474]
[549.359, 458.397]
[636.57, 460.481]
[724.588, 458.654]
[803.657, 454.264]
[381.901, 497.812]
[449.367, 512.222]
[536.205, 523.319]
[636.752, 527.495]
[737.357, 523.729]
[824.632, 512.822]
[359.078, 556.945]
[428.398, 581.627]
[522.715, 601.597]
[635.823, 610.412]
[750.346, 602.465]
[845.629, 582.545]
[247.459, 383.974]
[289.29, 391.18]
[215.24, 448.78]
[240.77, 479.473]
[964.148, 394.123]
[1018.99, 386.318]
[1020.38, 495.232]
[1055.77, 458.257]
