[470.979, 232.096]
[506.334, 228.463]
[544.596, 225.153]
[585.861, 223.588]
[627.628, 222.723]
[669.552, 222.131]
[458.062, 252.002]
[495.511, 248.682]
[537.06, 245.988]
[581.314, 243.295]
[626.074, 242.808]
[672.664, 243.233]
[444.578, 275.764]
[484.541, 272.006]
[528.595, 269.484]
[575.108, 268.277]
[625.362, 266.442]
[675.375, 267.144]
[429.291, 303.697]
[470.488, 301.826]
[517.749, 299.367]
[569.277, 297.915]
[624.051, 297.561]
[678.846, 297.386]
[205.634, 357.543]
[210.976, 357.574]
[198.679, 398.146]
[200.835, 405.098]
[1013.13, 357.695]
[1039.44, 357.732]
[1041.69, 440.54]
[1060.09, 424.194]
[310.363, 264.592]
[360.714, 251.416]
[272.098, 321.693]
[314.64, 315.767]
[822.92, 234.166]
[904.313, 248.305]
[865.591, 304.965]
[949.796, 313.601]
